编号,医院名称,拼音,所属城区,邮编,日门诊量(2010),日门诊量(2009),日门诊量(2008),地址,电话,X,Y,医院等级
1,卢沟桥医院,lu gou qiao yi yuan,丰台区,100072,500,300,100,北京市丰台区晓月苑清音街１号,1083211441,116.240227,39.838136,1
2,玉泉医院,yu quan yi yuan,石景山区,100041,1000,800,600,北京市石景山区石景山路５号,1088257755,116.24658,39.907778,2
3,二龙路医院,er long lu yi yuan,西城区,100032,450,250,50,北京市西城区二龙路下岗胡同１号,1066014447,116.366238,39.91041,2
4,儿童医院,er tong yi yuan,西城区,100045,800,600,400,北京市西城区复兴门北大街,1068028401,116.356184,39.912765,3
5,复兴医院,fu xing yi yuan,西城区,100038,6000,5800,5600,北京市西城区复兴门外大街１４号,1088062158,116.339846,39.906096,3
6,协和医院西院,xie he yi yuan xi yuan,西城区,100032,10000,9800,9600,北京市西城区大木仓胡同４１号,1088068177,116.36736,39.912075,1
7,广内医院,guang nei yi yuan,宣武区,100053,6000,5800,5600,北京市宣武区校场五条４９号,1063037685,116.371501,39.894329,1
8,广外医院,guang wai yi yuan,宣武区,100055,5000,4800,4600,北京市宣武区三义里甲２,1063467831,116.330924,39.888597,1
9,回民医院,hui min yi yuan,宣武区,100054,800,600,400,北京市宣武区右安门内大街１１号,1063527755,116.363468,39.882025,2
10,首都医科大学宣武医院,shou du yi ke da xue xuan wu yi yuan,宣武区,100053,2000,1800,1600,北京市宣武区长椿街４５号,1063012835,116.36314,39.891696,3
11,宣武区白云路医院,xuan wu qu bai yun lu yi yuan,宣武区,100055,800,600,400,北京市宣武区莲花池东路１,1063261607,116.340084,39.896749,1
12,宣武老年病医院,xuan wu lao nian bing yi yuan,宣武区,100053,800,600,400,北京市宣武区上斜街甲６１,1063155721,116.370468,39.898056,1
13,中医研究院广安门医院,zhong yi yan jiu yuan guang an men yi yuan,宣武区,100053,500,300,100,北京市宣武区北线阁５号,1063013311,116.352985,39.890832,3
14,宝仁中医院,bao ren zhong yi yuan,丰台区,100055,1000,800,600,北京市丰台区莲花池南里１４,1063460856,116.312151,39.887658,1
15,长峰医院,chang feng yi yuan,丰台区,100071,1500,1300,1100,北京市丰台区靛厂路,1088246570,116.280435,39.88924,1
16,电力总医院,dian li zong yi yuan,丰台区,100071,2000,1500,1300,北京市丰台区太平桥西里甲一号,1063465865,116.315031,39.886223,3
17,丰台区医院,feng tai qu yi yuan,丰台区,100071,2500,2000,1800,北京市丰台区西安街１号,1063811115,116.278809,39.848774,2
18,广济医院,guang ji yi yuan,丰台区,100071,3000,2500,2300,北京市丰台区丰台东路,1083617273,116.329913,39.848233,1
19,和平医院,he ping yi yuan,丰台区,100054,3500,3000,2800,北京市丰台区西铁营甲９８号,1083541590,116.353075,39.858715,1
20,丽泽医院,li ze yi yuan,丰台区,100071,4000,3500,3300,北京市丰台区丽泽路９８号,1063307560,116.318001,39.866873,1
21,卢沟桥国医院,lu gou qiao guo yi yuan,丰台区,100073,4500,4000,3800,北京市丰台区丰台路口东里１９８号,1063895288,116.284997,39.871341,1
22,医星医院,yi xing yi yuan,丰台区,100071,5000,4500,4300,北京市丰台区丰台东大街游池场北路甲９号,1063846847,116.291831,39.855436,1
23,右安门医院,you an men yi yuan,丰台区,100071,5500,5000,4800,北京市丰台区右安门外大街１９９号,1083511133,116.362823,39.859177,1
24,佑安医院,you an yi yuan,丰台区,100071,6000,5500,5300,北京市丰台区右安门外西头条８号,1083996599,116.355913,39.867574,1
25,右外医院,you wai yi yuan,丰台区,100071,1000,800,600,北京市丰台区开阳里二街１,1063554840,116.368787,39.866874,1
26,航天中心医院,hang tian zhong xin yi yuan,石景山区,100041,2000,1800,1600,北京市石景山区玉泉路１５号,1068763752,116.252606,39.916584,2
27,水利部北京总医院,shui li bu bei jing zong yi yuan,海淀区,100036,3000,2800,2600,北京市海淀区玉渊潭南路１９号,1088614818,116.307942,39.912988,2
28,西翠医院,xi cui yi yuan,海淀区,100039,4000,3800,3600,北京市海淀区玉泉路６６号,1088278610,116.253297,39.897635,1
29,中西结合医院,zhong xi jie he yi yuan,海淀区,100000,5000,4800,4600,北京市海淀区永定路东街３号,1068212075,116.265515,39.906063,2
30,丰台区营医院西院,feng tai qu ying yi yuan xi yuan,丰台区,100071,6000,5800,5600,北京市丰台区洋桥西里１９号,1067219766,116.394499,39.858432,1
31,体坛医院,ti tan yi yuan,丰台区,100078,500,300,100,北京市丰台区芳城园一区１－４,1067683599,116.438393,39.868764,1
32,铁营医院,tie ying yi yuan,丰台区,100071,800,600,400,北京市丰台区东铁匠横七条路１号,1067631919,116.423561,39.856006,1
33,燕竹医院,yan zhu yi yuan,丰台区,100071,1100,900,700,北京市丰台区分钟寺倪庄甲１,1067699344,116.455978,39.853406,1
34,永南医院,yong nan yi yuan,丰台区,100071,1400,1200,1000,北京市丰台区南三环中路６６号,1067213846,116.403968,39.855826,1
35,中医药大学东方医院,zhong yi yao da xue dong fang yi yuan,丰台区,100071,1700,1500,1300,北京市丰台区方庄芳兴园１区,1067689655,116.430884,39.864453,1
36,北京按摩医院,bei jing an mo yi yuan,西城区,100035,2000,1800,1600,北京市西城区宝产胡同７号,1066168880,116.371573,39.934956,1
37,劲松医院,jin song yi yuan,朝阳区,100021,3000,2800,2600,北京市朝阳区劲松五区５０１,1067783646,116.453368,39.881934,1
38,北京大学医院眼科中心,bei jing da xue yi yuan yan ke zhong xin,西城区,100034,3200,3000,2800,北京市西城区阜成门内大街１３３号, ,116.366336,39.924028,3
39,阜外心血管病医院,fu wai xin xue guan bing yi yuan,西城区,100037,3400,3200,3000,北京市西城区北礼士路１６７号,1068314466,116.352907,39.924277,3
40,人民医院,ren min yi yuan,西城区,100044,3600,3400,3200,北京市西城区西直门南大街１１号,1068314422,116.354386,39.937581,3
41,西城区平安医院,xi cheng qu ping an yi yuan,西城区,100035,3800,3400,3200,北京市西城区赵登禹路１６９号,1066184174,116.368002,39.934581,3
42,消防局医院,xiao fang ju yi yuan,西城区,100035,4000,3600,3400,北京市西城区西直门内大街１９０号,1062241188,116.357964,39.940309,2
43,展览路医院分院,zhan lan lu yi yuan fen yuan,西城区,100037,4200,3800,3600,北京市西城区百万庄中里４５号,1068352507,116.345968,39.924227,3
44,北大第六医院,bei da di liu yi yuan,海淀区,100083,4400,4000,3800,北京市海淀区花园北路５１号,1062091984,116.357376,39.981766,3
45,北大第三医院眼科中心,bei da di san yi yuan yan ke zhong xin,海淀区,100083,4600,4200,4000,北京市海淀区花园北路４９号,1062017691,116.361255,39.9819,3
46,北大口腔医院,bei da kou qiang yi yuan,海淀区,100081,4800,4400,4200,北京市海淀区中关村南大街２２,1062179977,116.324248,39.952475,3
47,北方医院,bei fang yi yuan,海淀区,100089,5000,4600,4400,北京市海淀区车道沟１０号院,1068963106,116.296554,39.949684,3
48,北京大学第三医院,bei jing da xue di san yi yuan,海淀区,100083,5200,4800,4600,北京市海淀区花园北路４９号,1062017691,116.359393,39.981915,3
49,北京大学口腔医院第三门诊部,bei jing da xue kou qiang yi yuan di san men zhen bu,海淀区,100083,4300,3900,3700,北京市海淀区花园东路１０号高德大厦二层,1082037076,116.369969,39.982548,3
50,海淀区中医院,hai dian qu zhong yi yuan,海淀区,100044,4300,3900,3700,北京市海淀区双榆树二街,1062564032,116.324537,39.969872,3
51,京民医院,jing min yi yuan,海淀区,100044,4300,3700,3500,北京市海淀区紫竹院路５２号,1068411418,116.316176,39.939573,3
52,空指医院,kong zhi yi yuan,海淀区,100089,4300,3700,3500,北京市海淀区蓝靛厂１号,1066924762,116.280226,39.966621,3
53,四季青医院,si ji qing yi yuan,海淀区,100044,6000,5400,5200,北京市海淀区远大路３２号,1088434040,116.278949,39.95655,3
54,玉渊潭医院,yu yuan tan yi yuan,海淀区,100036,2000,1400,1200,北京市海淀区阜成路８５号,1088113920,116.292565,39.925501,3
55,肿瘤医院,zhong liu yi yuan,海淀区,100036,5000,4400,4200,北京市海淀区阜成路５２号,1088121122,116.290494,39.923761,3
56,北京市和平里医院,bei jing shi he ping li yi yuan,东城区,100013,4500,3900,3700,北京市东城区和平里北街１８号,1064215431,116.413916,39.959063,3
57,北京大学第一医院综合门诊部,bei jing da xue di yi yi yuan zong he men zhen bu,东城区,100009,4000,3400,3200,北京市东城区安定门内车辇店胡同１５号,1066551122,116.406279,39.945541,3
58,北京第六医院北新桥院区,bei jing di liu yi yuan bei xin qiao yuan qu,东城区,100007,3500,2900,2700,北京市东城区东直门内大街１８４号,1064035566,116.423319,39.940791,3
59,海淀医院,hai dian yi yuan,海淀区,100000,3000,2400,2200,北京市海淀区海淀路１５１号,1062551396,116.315611,39.976346,3
60,第六医院,di liu yi yuan,东城区,100007,2500,1900,1700,北京市东城区交道口北二条３６,1064035566,116.413257,39.94283,3
61,地坛医院,di tan yi yuan,东城区,100011,2000,1400,1200,北京市东城区安定门外大街地坛公园３号,1064211031,116.411849,39.953738,3
62,东四妇产医院,dong si fu chan yi yuan,东城区,100007,1500,900,700,北京市东城区交道口南大街１３６号,1064049585,116.409012,39.934903,3
63,东外医院,dong wai yi yuan,东城区,100027,1000,400,200,北京市东城区东直门外察慈小区７号楼,1064609795,116.440585,39.943249,3
64,妇产医院,fu chan yi yuan,东城区,100006,500,300,100,北京市东城区骑河楼大街１７号,1065250731,116.404218,39.920021,3
65,公安医院,gong an yi yuan,东城区,100006,800,600,400,北京市东城区北河沿大街１０３号,1065133377,116.404769,39.922517,3
66,航星医院,hang xing yi yuan,东城区,100013,1000,800,600,北京市东城区和平里东街１１号,1084221131,116.424128,39.952425,3
67,口腔医院医疗集团东城区口腔医院,kou qiang yi yuan yi liao ji tuan dong cheng qu kou qiang yi yuan,东城区,100007,1200,1000,800,北京市东城区雍和宫大街５３号,1064058596,116.416493,39.94648,3
68,首都医科大学鼓楼中医院,shou du yi ke da xue gu lou zhong yi yuan,东城区,100009,1400,1200,1000,北京市东城区豆腐池胡同１３号,1084026766,116.3977,39.944082,3
69,中医药大学东直门医院,zhong yi yao da xue dong zhi men yi yuan,东城区,100007,1600,1400,1200,北京市东城区海运仓胡同５号,1084013212,116.426535,39.936717,3
70,中医科学院针灸医院,zhong yi ke xue yuan zhen jiu yi yuan,东城区,100700,1800,1600,1400,北京市东城区东直门内南小街１６号,1064014411,116.427231,39.939898,3
71,中医研究院骨科伤科医院,zhong yi yan jiu yuan gu ke shang ke yi yuan,东城区,100007,2000,1800,1600,北京市东城区东直门内南小街,1064014411,116.426025,39.937488,3
72,中医院,zhong yi yuan,东城区,100010,2200,2000,1800,北京市东城区美术馆后街２３号,1052176677,116.408225,39.9319,3
73,安定医院,an ding yi yuan,西城区,100088,2400,2200,2000,北京市西城区德胜门外安康胡同５号,1062013330,116.375973,39.952255,3
74,北大第一医院妇产儿童医院,bei da di yi yi yuan fu chan er tong yi yuan,西城区,100034,7000,6800,6600,北京市西城区西安门大街１号,1066551122,116.382448,39.922873,3
75,北大医院男科中心,bei da yi yuan nan ke zhong xin,西城区,100009,6000,5800,5600,北京市西城区地安门西大街甲５９号,1066116161,116.389953,39.933805,3
76,北京大学第一医院,bei jing da xue di yi yi yuan,西城区,100034,8000,7800,7600,北京市西城区西什库大街８号,1066551122,116.380165,39.931883,3
77,厂桥医院,chang qiao yi yuan,西城区,100034,7000,6800,6600,北京市西城区太平仓胡同１４号,1066168155,116.375095,39.931374,3
78,护国寺中医院,hu guo si zhong yi yuan,西城区,100035,6000,5800,5600,北京市西城区棉花胡同８３号,1066184261,116.376178,39.936382,3
79,积水潭医院,ji shui tan yi yuan,西城区,100035,6000,5800,5600,北京市西城区新街口东街３１号,1058516688,116.375979,39.943288,3
80,安贞医院,an zhen yi yuan,朝阳区,100029,5000,4800,4600,北京市朝阳区安贞里,1064412431,116.402452,39.973873,3
81,北京朝阳大屯医院,bei jing chao yang da tun yi yuan,朝阳区,100101,3000,2800,2600,北京市朝阳区北辰东路,1064970007,116.403209,39.998148,3
82,北京藏医院,bei jing zang yi yuan,朝阳区,100029,5000,4800,4600,北京市朝阳区小关北里２１８号,1064933184,116.414403,39.980252,3
83,朝阳区第三医院,chao yang qu di san yi yuan,朝阳区,101100,7000,6800,6600,北京市朝阳区延静西里１１,1065855075,116.483033,39.920473,3
84,朝阳区中医院,chao yang qu zhong yi yuan,朝阳区,100020,9000,8800,8600,北京市朝阳区工体南路６号,1065531155,116.445863,39.926691,3
85,朝阳医院,chao yang yi yuan,朝阳区,100020,6000,5800,5600,北京市朝阳区白家庄８号,1085231000,116.453126,39.926704,3
86,煤炭总医院,mei tan zong yi yuan,朝阳区,100028,3000,2800,2600,北京市朝阳区西坝河南里２９,1064667755,116.435849,39.960213,3
87,三里屯医院,san li tun yi yuan,朝阳区,100027,2500,2300,2100,北京市朝阳区三里屯,1064179526,116.453607,39.936661,3
88,首都医科大东区口腔医院,shou du yi ke da dong qu kou qiang yi yuan,朝阳区,100020,2000,1800,1600,北京市朝阳区东大桥路甲５号,1085616004,116.450072,39.920967,3
89,太阳宫医院,tai yang gong yi yuan,朝阳区,100028,1500,1300,1100,北京市朝阳区光熙门北里３４号楼,1064212478,116.435619,39.968729,3
90,新源里医院,xin yuan li yi yuan,朝阳区,100027,1000,800,600,北京市朝阳区顺源街１楼,1064672412,116.456571,39.951528,3
91,亚运村医院,ya yun cun yi yuan,朝阳区,100101,500,300,100,北京市朝阳区亚运村安慧北里１区１７号,1064914465,116.414265,39.991235,3
92,冶金医院,ye jin yi yuan,朝阳区,100029,1000,800,600,北京市朝阳区小关５１号,1052075555,116.408331,39.978613,3
93,中日友好医院,zhong ri you hao yi yuan,朝阳区,100029,1500,1300,1100,北京市朝阳区和平街北口樱花东路,1064221122,116.424955,39.973354,3
94,中医研究院望京医院,zhong yi yan jiu yuan wang jing yi yuan,朝阳区,101100,2000,1800,1600,北京市朝阳区望京中环南路六号,1084739114,116.473297,39.983101,3
95,左家庄医院,zuo jia zhuang yi yuan,朝阳区,100028,2500,2300,2100,北京市朝阳区左家庄前街,1084541150,116.440423,39.953187,3
96,上地医院,shang di yi yuan,海淀区,100000,3000,2800,2600,北京市海淀区农大南路,1062583071,116.298505,40.023944,3
97,中国航空工业中心医院,zhong guo hang kong gong ye zhong xin yi yuan,朝阳区,101100,3500,3300,3100,北京市朝阳区北苑路,1084931118,116.420922,40.028762,2
98,北京医院,bei jing yi yuan,东城区,100005,4000,3800,3600,北京市东城区大华路１号,1065132266,116.415597,39.903467,3
99,建国门医院,jian guo men yi yuan,东城区,100005,4500,4300,4100,北京市东城区后赵家楼胡同９号,1065256218,116.430433,39.914126,3
100,口腔医院,kou qiang yi yuan,东城区,100006,5000,4800,4600,北京市东城区锡拉胡同１１号,1064045142,116.409569,39.916519,3
101,同仁医院,tong ren yi yuan,东城区,100005,5500,5300,5100,北京市东城区东交民巷东１门,1065129911,116.417781,39.903198,3
102,协和医院,xie he yi yuan,东城区,100005,6000,5800,5600,北京市东城区东单北大街５３,1065296114,116.417512,39.91246,3
103,崇文区第一医院,chong wen qu di yi yi yuan,崇文区,100054,6500,6300,6100,北京市崇文区永定门外大街１３０号,1067212233,116.400582,39.864466,3
104,崇文区前门医院,chong wen qu qian men yi yuan,崇文区,100062,1000,800,600,北京市崇文区东晓市街,1065115387,116.414832,39.890745,3
105,东花市光华医院,dong hua shi guang hua yi yuan,崇文区,101100,1500,1300,1100,北京市崇文区双花园南里, ,116.447823,39.899313,3
106,东华医院,dong hua yi yuan,崇文区,100061,2000,1800,1600,北京市崇文区体育馆西路６号,1067116422,116.423876,39.886142,3
107,光明医院,guang ming yi yuan,崇文区,100061,2500,2300,2100,北京市崇文区板厂南里２号,1066911789,116.442899,39.885655,3
108,健安医院,jian an yi yuan,崇文区,100050,3000,2800,2600,北京市崇文区永定门内东街东里１２号,1067051356,116.413108,39.873934,3
109,普仁医院,pu ren yi yuan,崇文区,100062,3500,3300,3100,北京市崇文区崇文门外大街１００号,1067117711,116.419351,39.894741,3
110,首医大附属口腔医院,shou yi da fu shu kou qiang yi yuan,崇文区,100050,4000,3800,3600,北京市崇文区天坛西里４号,1067099114,116.401825,39.877706,3
111,体育医院,ti yu yi yuan,崇文区,100061,800,600,400,北京市崇文区体育馆路４号,1067116611,116.42666,39.883755,3
112,世纪坛医院,shi ji tan yi yuan,海淀区,100038,2500,2300,2100,北京市海淀区铁医路１０号,1063926022,116.319153,39.900258,3
113,天坛医院,tian tan yi yuan,崇文区,100050,5000,4800,4600,北京市崇文区天坛西里６号,1067016611,116.401309,39.876812,3
114,椿树医院,chun shu yi yuan,宣武区,100052,1000,800,600,北京市宣武区琉璃厂西街６３号,1063033415,116.381579,39.895512,3
115,首医大附属友谊医院,shou yi da fu shu you yi yi yuan,宣武区,100050,3000,2800,2600,北京市宣武区永安路９５号,1063014411,116.394273,39.886161,3
116,天桥医院,tian qiao yi yuan,宣武区,100050,1000,800,600,北京市宣武区北纬路１１号,1083137777,116.396563,39.883729,3
117,宣武区中医院,xuan wu qu zhong yi yuan,宣武区,100050,1000,800,600,北京市宣武区万明路甲８号,1063038881,116.389632,39.887511,3
118,朝阳区第二医院,chao yang qu di er yi yuan,朝阳区,100026,7000,6800,6600,北京市朝阳区金台路１３号,1085993431,116.471603,39.916517,3
119,朝阳区三环医院,chao yang qu san huan yi yuan,朝阳区,101100,6000,5800,5600,北京市朝阳区东三环路十里河村甲８,1067315130,116.463558,39.857959,3
120,朝阳路光华医院,chao yang lu guang hua yi yuan,朝阳区,100020,600,400,200,北京市朝阳区朝阳路,1065062810,116.468536,39.915738,3
121,垂杨柳医院,chui yang liu yi yuan,朝阳区,101100,6000,5800,5600,北京市朝阳区垂杨柳南街２号,1067718822,116.459285,39.887654,3
122,南磨房医院,nan mo fang yi yuan,朝阳区,101100,500,300,100,北京市朝阳区南磨房,1067329039,116.477622,39.882977,3
123,十八里店医院,shi ba li dian yi yuan,朝阳区,101100,500,300,100,北京市朝阳区大羊坊路,1067472578,116.479863,39.853436,3
124,双井医院,shuang jing yi yuan,朝阳区,101100,1500,1300,1100,北京市朝阳区黄木厂路,1067786459,116.465769,39.897078,3
125,双龙医院,shuang long yi yuan,朝阳区,100021,800,600,400,北京市朝阳区双龙路,1087321894,116.482119,39.871005,3
126,中国医学科学院肿瘤医院,zhong guo yi xue ke xue yuan zhong liu yi yuan,朝阳区,100021,1000,800,600,北京市朝阳区广渠门南滨河路,1067781331,116.445142,39.873347,3
